size,Triton,Torch
4096.000000,10.816901,10.741259
8192.000000,21.482518,20.897959
16384.000000,29.681159,29.681159
32768.000000,59.650486,59.650486
65536.000000,119.300973,119.300973
131072.000000,182.044451,182.044451
262144.000000,294.323343,294.323343
524288.000000,300.623865,300.623865
1048576.000000,319.817799,319.687791
2097152.000000,360.417951,371.133541
4194304.000000,377.457179,377.457179
8388608.000000,383.718976,383.718976
16777216.000000,388.385452,388.385452
33554432.000000,390.010606,389.624155
67108864.000000,391.022597,391.028662
134217728.000000,392.601024,392.623979
